           Single Fi                  Married F                 
State        Rates       Brackets       Rates        Brackets   
Ala.         .0200   >      $0          .0200   >       $0      
 (b, f)      .0400   >     $500         .0400   >     $1000    
             .0500   >    $3000        .0500   >     $6000    
                                                                
Alaska       none                       none                    
                                                                
Ariz.        .0259   >      $0          .0259   >       $0      
 (e)         .0288   >    $10179       .0288   >    $20357    
             .0336   >    $25445       .0336   >    $50890    
             .0424   >    $50890       .0424   >    $101779   
             .0454   >   $152668       .0454   >    $305336   
                                                                
Ark.         .0090   >      $0          .0090   >       $0      
 (a, d, e,   .0250   >    $4299        .0250   >     $4299    
             .0350   >    $8500        .0350   >     $8500    
             .0450   >    $12699       .0450   >    $12699    
             .0600   >    $21199       .0600   >    $21199    
             .0690   >    $35100       .0690   >    $35100    
                                                                
Calif.       .0100   >      $0          .0100   >       $0      
 (e,         .0200   >    $8015        .0200   >    $16030    
  r, s)      .0400   >    $19001       .0400   >    $38002    
             .0600   >    $29989       .0600   >    $59978    
             .0800   >    $41629       .0800   >    $83258    
             .0930   >    $52612       .0930   >    $105224   
            .01030   >   $268750      .01030   >    $537500   
            .01130   >   $322499      .01130   >    $644998   
            .01230   >   $537498      .01230   >   $1000000  
            .01330   >  $1000000     .01330   >   $1074996  
                                                                
Colo.      .0463 of                   .0463 of                  
           taxable i                  taxable i                 
                                                                
Conn.        .0300   >      $0          .0300   >       $0      
 (t, u)      .0500   >    $10000       .0500   >    $20000    
             .0550   >    $50000       .0550   >    $100000   
             .0600   >   $100000       .0600   >    $200000   
             .0650   >   $200000       .0650   >    $400000   
             .0690   >   $250000       .0690   >    $500000   
             .0699   >   $500000       .0699   >   $1000000  
                                                                
Del.         .0220   >    $2000        .0220   >     $2000    
 (f, r, v)   .0390   >    $5000        .0390   >     $5000    
             .0480   >    $10000       .0480   >    $10000    
             .0520   >    $20000       .0520   >    $20000    
             .0555   >    $25000       .0555   >    $25000    
             .0660   >    $60000       .0660   >    $60000    
                                                                
Fla.       none                       none                      
                                                                
Ga.          .0100   >      $0          .0100   >       $0      
             .0200   >     $750         .0200   >     $1000    
             .0300   >    $2250        .0300   >     $3000    
             .0400   >    $3750        .0400   >     $5000    
             .0500   >    $5250        .0500   >     $7000    
             .0600   >    $7000        .0600   >    $10000    
                                                                
Hawaii       .0140   >      $0          .0140   >       $0      
